Entry,Name,Name(TN),Disease,efficacy1,efficacy2,efficacy3,efficacy4,efficacy5,efficacy6,efficacy7,efficacy8
"D06612
","Linaclotide acetate (USAN)
  ","
","
",Peristaltic accelerator,Enterotoxin receptor agonist,,,,,,
"D06613
","Lorcaserin hydrochloride (USAN)
APD-356
  ","Belviq (TN)
  ","
",Appetite suppressant,Serotonin 5-HT2c receptor agonist,,,,,,
"D06618
","Methylnaltrexone bromide (JAN/USAN)
  ","Relistor (TN)
  ","
",Laxative,Opioid receptor antagonist,,,,,,
"D06619
","Mifamurtide (USAN)
Mifamurtide hydrate
  ","Mepact (TN)
  ","
",Antineoplastic,,,,,,,
"D06620
","dl-Camphor and ethanol
  ","Camphor (TN)
  ","
",Analgesic,Anti-inflammatory,Antipruritic,,,,,
"D06621
","Motavizumab (USAN/INN)
  ","
","
",Antiviral,,,,,,,
"D06622
","Nebivolol hydrochloride (USAN)
  ","Bystolic (TN)
  ","Hypertension [DS:H01633]
  ",Antihypertensive,Vasodilator,beta1-Adrenergic receptor antagonist,,,,,
"D06623
","Olanzapine pamoate (USAN)
Olanzapine pamoate monohydrate
  ","Zyprexa (TN)
  ","Schizophrenia [DS:H01649]
  ",Antipsychotic,,,,,,,
"D06625
","Omtriptolide sodium (USAN)
  ","
","
",Antineoplastic,,,,,,,
"D06626
","Onamelatucel-L (USAN)
  ","Canvaxin (TN)
  ","
",Antineoplastic,,,,,,,
"D06627
","Ovemotide (USAN/INN)
  ","
","
",Antineoplastic,,,,,,,
"D06629
","Pafuramidine maleate (USAN)
DB289
  ","
","
",Antimalarial,Antiprotozoal,,,,,,
"D06630
","Pramiconazole (USAN/INN)
  ","
","
",Antifungal,Ergosterol biosynthesis inhibitor,,,,,,
"D06631
","Prinaberel (USAN/INN)
  ","
","
",Anti-inflammatory,Estrogen receptor beta agonist,,,,,,
"D06632
","Pruvanserin (USAN/INN)
  ","
","
",Antidepressant,Antipsychotic,Serotonin receptor antagonist,,,,,
"D06633
","Pruvanserin hydrochloride (USAN)
  ","
","
",Antidepressant,Antipsychotic,Serotonin receptor antagonist,,,,,
"D06634
","Relacatib (USAN/INN)
  ","
","
",Osteoporosis agent,Cathepsin K inhibitor,,,,,,
"D06635
","Rilonacept (USAN/INN)
  ","Arcalyst (TN)
  ","Cryopyrin-associated periodic syndromes [DS:H00282]
  ",Anti-inflammatory,Antirheumatic,,,,,,
"D06636
","Rinfabate (USAN)
  ","
","
",Antineoplastic,,,,,,,
"D06637
","Romidepsin (JAN/USAN/INN)
  ","Istodax (TN)
  ","Peripheral T-cell lymphoma [DS:H01892]
Cutaneous T-Cell Lymphoma [DS:H01463]
  ",Antineoplastic,Histone deacetylase inhibitor,,,,,,
"D06638
","Rosabulin (USAN)
  ","
","
",Antineoplastic,,,,,,,
"D06639
","Rusalatide acetate (USAN)
  ","Chrysalin (TN)
  ","
",Revascularization agent,Tissue repair agent,,,,,,
"D06640
","Senicapoc (USAN)
  ","
","
",Anti-anemic (sickle cell),Potassium intermediate/small conductance calcium-activated channel antagonist,,,,,,
"D06641
","Sergliflozin etabonate (USAN)
  ","
","
",Antidiabetic,SGLT-2 inhibitor,,,,,,
"D06642
","Sevelamer carbonate (USAN)
  ","Renvela(TN)
  ","
",Antihyperphosphatemic,,,,,,,
"D06644
","Sipuleucel-T (USP)
  ","Provenge (TN)
  ","Prostate cancer, castrate-resistant [DS:H00024]
  ",Antineoplastic,Autologous CD54+ cell,,,,,,
"D06645
","Sitagliptin phosphate (USAN)
Sitagliptin phosphate hydrate (JP18)
Sitagliptin phosphate monohydrate
  ","Januvia (TN)
  ","Type 2 diabetes mellitus [DS:H00409]
  ",Antidiabetic,Dipeptidyl peptidase-4 (DPP-4) inhibitor,,,,,,
"D06646
","Epanolol (USAN/INN)
  ","
","
",Antihypertensive,Vasodilator,beta1-Adrenergic receptor antagonist,,,,,
"D06647
","Sodelglitazar (USAN)
  ","
","
",Antidiabetic,,,,,,,
"D06648
","Succinobucol (USAN)
  ","
","
",Antihyperlipidemic,Antioxidant,,,,,,
"D06649
","Tadocizumab (USAN)
  ","
","
",Platelet aggregation inhibitor,Anti-glycoprotein IIb/IIIa antibody,,,,,,
"D06650
","Tanespimycin (USAN)
  ","
","
",Antineoplastic,Hsp 90 inhibitor,,,,,,
"D06651
","Taribavirin hydrochloride (USAN)
  ","Viramidine (TN)
  ","
",Antiviral,,,,,,,
"D06652
","Tedisamil (USAN)
  ","
","
",Antiarrhythmic,Potassium channel blocker,,,,,,
"D06653
","Tedisamil sesquifumarate (USAN)
  ","
","
",Antiarrhythmic,Potassium channel blocker,,,,,,
"D06655
","Tesamorelin (USAN)
  ","
","
",Growth hormone releasing hormone receptor agonist,,,,,,,
"D06656
","Tezampanel (USAN)
Tezampanel hydrate
  ","
","
",Anticonvulsant,Pain relief,AMPA receptor antagonist,Kainate receptor antagonist,,,,
"D06657
","Tremelimumab (USAN/INN)
Tremelimumab (genetical recombination) (JAN)
Tremelimumab-actl
CP 675206
  ","Imjudo (TN)
  ","Hepatocellular carcinoma [DS:H00048]
Non-small cell lung cancer [DS:H00014]
  ",Antineoplastic,Immune checkpoint inhibitor,Anti-CTLA4 antibody,,,,,
"D06658
","Tigapotide triflutate (USAN)
  ","
","
",Antineoplastic,,,,,,,
"D06659
","Tipelukast (USAN)
  ","
","
",Antiasthmatic,Leukotriene receptor antagonist,,,,,,
"D06660
","Vabicaserin hydrochloride (USAN)
SCA 136
  ","
","
",Antipsychotic,Serotonin receptor agonist,,,,,,
"D06661
","Dimethisoquin hydrochloride (USAN)
Quinisocaine hydrochloride
  ","
","
",Anesthetic (topical),Antipruritic,,,,,,
"D06662
","Vapitadine dihydrochloride (USAN)
  ","
","
",Anti-inflammatory,,,,,,,
"D06664
","Veliflapon (USAN/INN)
Bay X 1005
  ","
","
",Anti-inflammatory,Leukotriene synthesis inhibitor,,,,,,
"D06665
","Vernakalant hydrochloride (USAN)
  ","
","
",Antiarrhythmic,,,,,,,
"D06666
","Verpasep caltespen (USAN/INN)
  ","
","
",Antiviral,,,,,,,
"D06667
","Vitespen (USAN)
  ","Oncophage (TN)
  ","
",Antineoplastic,,,,,,,
"D06668
","Yttrium Y 90 tacatuzumab tetraxetan (USAN)
  ","AFP-Cide (TN)
  ","
",Antineoplastic,,,,,,,
"D06669
","Zotarolimus (USAN/INN)
  ","
","
",Immunosuppressant,mTOR inhibitor,,,,,,
"D06670
","Maraviroc (JAN/INN)
(abbr) MVC
  ","Selzentry (TN)
  ","HIV-1 infection (CCR5-tropic) [DS:H01563]
  ",Antiviral,CCR5 antagonist,,,,,,
"D06671
","Yohimbine hydrochloride (USP)
  ","
","
",alpha2-Adrenergic receptor antagonist,,,,,,,
"D06672
","Terlipressin (USAN/INN)
  ","Lucassin (TN)
  ","
",Antidiuretic,Vasoconstrictor,Arginine vasopressin receptor agonist,,,,,
"D06673
","Meprednisone (USP/INN)
  ","
","
",Anti-inflammatory,Glucocorticoid receptor agonist,,,,,,
"D06674
","Efipladib (USAN)
  ","
","
",Analgesic,Anti-inflammatory,Cytosolic phospholipase A2-alpha inhibitor,,,,,
"D06675
","Telbivudine (USAN/INN)
(abbr) LdT
  ","Tyzeka (TN)
  ","Chronic hepatitis B [DS:H00412]
  ",Antiviral,Reverse transcriptase inhibitor,,,,,,
"D06676
","Raltegravir (INN)
MK-0518
  ","
","
",Antiviral,HIV integrase inhibitor,,,,,,
"D06677
","Elvitegravir (JAN/USAN)
(abbr) EVG
  ","Vitekta (TN)
  ","HIV-1 infection [DS:H01563]
  ",Antiviral,HIV integrase inhibitor,,,,,,
"D06678
","Motesanib (USAN)
AMG 706
  ","
","
",Antineoplastic,Angiogenesis inhibitor,Receptor tyrosine kinase inhibitor,,,,,
"D06679
","Gambir (JP18)
Powdered gambir (JP18)
  ","Gamibir (TN)
  ","
",Antidiarrheal,,,,,,,
"D06680
","Sweet hydrangea leaf (JP18)
Powdered sweet hydrangea leaf (JP18)
  ","Sweet hydrangea leaf (TN)
  ","
",Antibacterial,Antioxidant,,,,,,
"D06681
","Aloe (JP18/USP)
Powdered aloe (JP18)
  ","Aloe (TN)
  ","
",Analeptic,Laxative,Stomachic,,,,,
"D06682
","Artemisia capillaris flower (JP18)
  ","
","
",Anti-inflammatory,Antipyretic,Choleretic,Diuretic,,,,
"D06683
","Fennel (JP18)
Powdered fennel (JP18)
  ","Fennel (TN)
  ","
",Expectorant,Stomachic,,,,,,
"D06684
","Bearberry leaf (JP18)
  ","Uva ursi (TN)
  ","
",Disinfectant,Diuretic,,,,,,
"D06685
","Rose fruit (JP18)
Powdered rose fruit (JP18)
  ","Rose fruit (TN)
  ","
",Laxative (cathartic),,,,,,,
"D06686
","Corydalis tuber (JP18)
Powdered corydalis tuber (JP18)
  ","Corydalis tuber
  ","
",Analgesic,Antispasmodic,,,,,,
"D06687
","Astragalus root (JP18)
  ","Astragali radix (TN)
  ","
",Antihypertensive,Diuretic,,,,,,
"D06688
","Scutellaria root (JP18)
Powdered scutellaria root (JP18)
  ","Scutellaria root (TN)
  ","
",Diuretic,Laxative,,,,,,
"D06689
","Phellodendron bark (JP18)
Powdered phellodendron bark (JP18)
  ","Phellodendron bark (TN)
  ","
",Anti-inflammatory,Stomachic,,,,,,
"D06690
","Polygala root (JP18)
Powdered polygala root (JP18)
  ","Polugala root (TN)
  ","
",Central nervous system depressant,Expectorant,,,,,,
"D06691
","Prunella spike (JP18)
  ","Prunella spike (TN)
  ","
",Anti-inflammatory,Diuretic,,,,,,
"D06692
","Zedoary (JP18)
Powdered curcuma rhizome (Non-JPS)
  ","Zedoaru (TN)
  ","
",Stomachic,,,,,,,
"D06693
","Pueraria root (JP18)
  ","Pueraria root (TN)
  ","
",Antipyretic,Antispasmodic,,,,,,
"D06694
","Clematis root (JP18)
  ","Irei-sen (TN)
  ","
",Antibacterial,Hypoglycemic,,,,,,
"D06695
","Termeric (JP18)
Powdered termeric (JP18)
Turmeric rhizome
  ","
","
",Choleretic,Hepatoprotectant,,,,,,
"D06696
","Lindera root (JP18)
  ","
","
",Intestinal regulator,,,,,,,
"D06697
","Polygonum root (JP18)
  ","
","
",Analeptic,Antidote,,,,,,
"D06698
","Kakkonto extract (JP18)
Kakkonto
  ","
","
",Anti-inflammatory,Antipyretic,Antispasmodic,Antitussive,Expectorant,Sweating,,
"D06699
","Japanese valerian (JP18)
Powdered japanese valerian (JP18)
  ","Valerianae radix (TN)
  ","
",Natural tranquilizer,Sedative,,,,,,
"D06700
","Kamishoyosan extract (JP18)
Kamishoyosan
  ","
","
",Analgesic,Emmenagogue,Sedative,,,,,
"D06701
","Trichosanthes root (JP18)
  ","Trichosanthes root (TN)
  ","
",Hypoglycemic,,,,,,,
"D06702
","Processed ginger (JP18)
  ","
","
",Analgesic,Anti-inflammatory,Antipyretic,Antitussive,,,,
"D06703
","Platycodon root (JP18)
Powdered platycodon root (JP18)
  ","Platycodon root (TN)
  ","
",Antitussive,Expectorant,,,,,,
"D06704
","Chrysanthemum flower (JP18)
  ","
","
",Antidote,Anti-inflammatory,Antipyretic,,,,,
"D06705
","Catalpa fruit (JP18)
  ","Catalpa fruit (TN)
  ","
",Diuretic,,,,,,,
"D06706
","Immature orange (JP18)
  ","Kijitsu (TN)
  ","
",Stomachic,,,,,,,
"D06707
","Notopterygium rhizome (JP18)
  ","
","
",Analgesic,Anti-inflammatory,,,,,,
"D06708
","Apricot kernel (JP18)
  ","Kyounin (TN)
  ","
",Antitussive,,,,,,,
"D06709
","Lycium fruit (JP18)
  ","
","
",Analeptic,,,,,,,
"D06710
","Sophora root (JP18)
Powdered sophora root (JP18)
  ","Sophora root (TN)
  ","
",Anti-inflammatory,Anti-ulcerative,,,,,,
"D06711
","Schizonepeta spike (JP18)
Powdered schizonepeta spike (Non-JPS)
  ","Schizonepeta spike (TN)
  ","
",Analgesic,Antibacterial,,,,,,
"D06712
","Cinnamon bark (JP18)
Powdered cinnamon bark (JP18)
  ","Cinnamon bark (TN)
  ","
",Analgesic,Antipyretic,Sweating,,,,,
"D06713
","Cinnamon oil (JP18)
  ","
","
",Pharmaceutic aid (flavor),,,,,,,
"D06714
","Cassia seed (JP18)
  ","Cassia seed (TN)
  ","
",Laxative,,,,,,,
"D06715
","Pharbitis seed (JP18)
  ","Pharbitis seed (TN)
  ","
",Laxative,,,,,,,
"D06716
","Gentian (JP18)
Powdered gentian (JP18)
  ","Gentian (TN)
  ","
",Bitter stomachic,,,,,,,
"D06717
","Safflower (JP18)
  ","Safflower (TN)
  ","
",Emmenagogue,,,,,,,
"D06718
","Red ginseng (JP18)
Powdered red ginseng (Non-JPS)
  ","Red Ginseng (TN)
  ","
",Analeptic,Hypoglycemic,Sedative,,,,,
"D06719
","Cyperus rhizome (JP18)
Powdered cyperus rhizome (JP18)
  ","Xianghu (TN)
  ","
",Analgesic,Choleretic,,,,,,
"D06720
","Magnolia bark (JP18)
Powdered magnolia bark (JP18)
  ","Magnolia bark (TN)
  ","
",Analgesic,Antispasmodic,,,,,,
"D06721
","Oriental bezoar (JP18)
Powdered oriental bezoar (Non-JPS)
  ","
","
",Antipyretic,Antispasmodic,Cardiotonic,Choleretic,Sedative,,,
"D06722
","Achyranthes root (JP18)
  ","Achyranthese root (TN)
  ","
",Antiallergic,Antitumor,,,,,,
"D06723
","Burdock fruit (JP18)
  ","
","
",Antitumor,Diuretic,Sweating,,,,,
"D06724
","Schisandra fruit (JP18)
  ","Schisandra fruit (TN)
  ","
",Analgesic,Anti-ulcerative,,,,,,
"D06725
","Calumba (JP18)
Powdered calumba (JP18)
  ","Colombo (TN)
  ","
",Intestinal regulator,Stomachic,,,,,,
"D06726
","Condurango (JP18)
  ","Condurango (TN)
  ","
",Antitumor,,,,,,,
"D06727
","Bupleurum root (JP18)
  ","Bupleurum root (TN)
  ","
",Anti-inflammatory,Antipyretic,,,,,,
"D06728
","Asiasarum root (JP18)
  ","Asiasarum root (TN)
  ","
",Analgesic,Antipyretic,Antitussive,Expectorant,,,,
"D06729
","Saireito extract (JP18)
Saireito
  ","
","
",Antidiarrheal,Antiedemic,Anti-emetic,Diuretic,,,,
"D06730
","Smilax rhizome (JP18)
Powdered smilax rhizome (JP18)
  ","Smilax rhizome (TN)
  ","
",Antidote,,,,,,,
"D06731
","Gardenia fruit (JP18)
Powdered gardenia fruit (JP18)
  ","Gerenia fruit (TN)
  ","
",Choleretic,,,,,,,
"D06732
","Cornus fruit (JP18)
Powdered cornus fruit (Non-JPS)
Corni fructus pulveratus
  ","Sanshuyu (TN)
  ","
",Analeptic,Anhidrotic,,,,,,
"D06733
","Zanthoxylum fruit (JP18)
Powdered zanthoxylum fruit (JP18)
  ","Zanthoxylum fruit (TN)
  ","
",Analgesic,Anthelmintic,Antibacterial,,,,,
"D06734
","Jujube seed (JP18)
  ","
","
",Sedative,,,,,,,
"D06735
","Dioscorea rhizome (JP18)
Powdered dioscorea rhizome (JP18)
  ","Dioscorea rhizome (TN)
  ","
",Analeptic,,,,,,,
"D06736
","Rehmannia root (JP18)
Powdered rehmannia root (Non-JPS)
Rehmanniae radix
Rehmanniae radix pulverata
  ","Rehmannia root (TN)
  ","
",Antidiarrheal,Diuretic,Laxative,,,,,
"D06737
","Lycium bark (JP18)
  ","
","
",Antihypertensive,Antipyretic,Hypoglycemic,,,,,
"D06738
","Tribulus fruit (JP18)
  ","
","
",Sedative,,,,,,,
"D06739
","Peony root (JP18)
Powdered peony root (JP18)
  ","Peony root (TN)
  ","
",Analgesic,Antispasmodic,Astringent,,,,,
"D06740
","Cnidium monnieri fruit (JP18)
  ","
","
",Antibacterial,Antipruritic,,,,,,
"D06741
","Plantago herb (JP18)
  ","Plantago herb (TN)
  ","
",Antitussive,Diuretic,Expectorant,,,,,
"D06742
","Houttuynia herb (JP18)
  ","Houttuynia harb (TN)
  ","
",Antibacterial,Diuretic,,,,,,
"D06743
","Amomum seed (JP18)
Powdered amomum seed (JP18)
  ","Amomum seed (TN)
  ","
",Intestinal regulator,Stomachic,,,,,,
"D06744
","Ginger (JP18)
Powdered ginger (JP18)
Ginger extract (Non-JPS)
  ","Ginger (TN)
  ","
",Flavor,Stomachic,,,,,,
"D06745
","Cimicifuga rhizome (JP18)
Cimicifugae rhizoma
  ","Cimicifuga rhizome (TN)
  ","
",Antiedemic,Antipyretic,,,,,,
"D06746
","Magnolia flower (JP18)
  ","
","
",Analgesic,Sedative,,,,,,
"D06747
","Senega (JP18)
Powdered senega (JP18)
  ","Senega (TN)
  ","
",Expectorant,,,,,,,
"D06748
","Cnidium rhizome (JP18)
Powdered cnidium rhizome (JP18)
  ","Cnidii rhizoma (TN)
  ","
",Analeptic,Blood replenishment,,,,,,
"D06749
","Nuphar rhizome (JP18)
  ","Nuphar rhizome (TN)
  ","
",Diuretic,,,,,,,
"D06750
","Toad venom (JP18)
  ","
","
",Analgesic,Cardiotonic,Hemostatic,,,,,
"D06751
","Senna leaf (JP18)
Powdered senna leaf (JP18)
  ","Senna (TN)
  ","
",Laxative (cathartic),,,,,,,
"D06752
","Atractylodes lancea rhizome (JP18)
Powdered atractylodes lancea rhizome (JP18)
  ","Atractylodis lancea rhizome (TN)
  ","
",Diuretic,Intestinal regulator,Stomachic,,,,,
"D06753
","Mulberry bark (JP18)
  ","Mulberry bark (TN)
  ","
",Hypoglycemic,,,,,,,
"D06754
","Sappan wood (JP18)
  ","
","
",Analgesic,Anti-inflammatory,Antipyretic,,,,,
"D06755
","Perilla herb (JP18)
  ","Perilla herb (TN)
  ","
",Antibacterial,,,,,,,
"D06756
","Rhubarb (JP18)
Powdered rhubarb (JP18)
  ","Rhubarb (TN)
  ","
",Laxative,,,,,,,
"D06757
","Daiokanzoto extract (JP18)
Daiokanzoto
  ","
","
",Laxative,,,,,,,
"D06758
","Jujube (JP18)
  ","Jujube (TN)
  ","
",Anticomplement,,,,,,,
"D06759
","Alisma rhizome (JP18)
Powdered alisma rhizome (JP18)
  ","Alisma rhizome (TN)
  ","
",Diuretic,,,,,,,
"D06760
","Panax rhizome (JP18)
Powdered panax rhizome (JP18)
  ","Japanase ginseng (TN)
  ","
",Analeptic,Expectorant,Stomachic,,,,,
"D06761
","Anemarrhena rhizome (JP18)
  ","Anemarrhera rhizome (TN)
  ","
",Antipyretic,Anti-ulcerative,Hypoglycemic,,,,,
"D06762
","Uncaria hook (JP18)
Uncaria hook extract (Non-JPS)
  ","
","
",Antihypertensive,,,,,,,
"D06763
","Polyporus sclerotium (JP18)
Powdered polyporus sclerotium (JP18)
  ","Chuling (TN)
  ","
",Diuretic,,,,,,,
"D06764
","Citrus unshiu peel (JP18)
Powdered citrus unshiu peel (Non-JPS)
  ","Citrus unshiu peel (TN)
  ","
",Antitussive,Bitter stomachic,,,,,,
"D06765
","Gastrodia tuber (JP18)
  ","Tianma (TN)
  ","
",Analgesic,Antispasmodic,,,,,,
"D06766
","Asparagus tuber (JP18)
  ","
","
",Analeptic,,,,,,,
"D06767
","Benincasa seed (JP18)
  ","
","
",Antiedemic,,,,,,,
"D06768
","Japanese angelica root (JP18)
Powdered japanese angelica root (JP18)
  ","Japanese angelica root (TN)
  ","
",Analeptic,Analgesic,Blood replenishment,Sedative,,,,
"D06769
","Peach kernel (JP18)
Powdered peach kernel (JP18)
  ","Peach kernel (TN)
  ","
",Antibacterial,Anti-inflammatory,,,,,,
"D06770
","Eucommia bark (JP18)
  ","
","
",Analeptic,Analgesic,,,,,,
"D06771
","Picrasma wood (JP18)
Powdered picrasma wood (JP18)
  ","Japanase quassia wood (TN)
  ","
",Insecticide,Stomachic,,,,,,
"D06772
","Ginseng (JP18)
Powdered ginseng (JP18)
  ","Ginseng (TN)
  ","
",Analeptic,Stomachic,,,,,,
"D06773
","Lonicera leaf and stem (JP18)
  ","
","
",Antidote,Anti-inflammatory,,,,,,
"D06774
","Fritillaria bulb (JP18)
Powdered fritillaria bulb (Non-JPS)
  ","
","
",Antitussive,Expectorant,,,,,,
"D06775
","Ophiopogon tuber (JP18)
  ","Ophiopogonis tuber (TN)
  ","
",Antitussive,Expectorant,,,,,,
"D06776
","Honey (JP18)
Honey, purified (NF)
  ","Honey (TN)
  ","
",Pharmaceutic aid (flavor),,,,,,,
"D06777
","Glehnia root (JP18)
  ","Glehniae radix (TN)
  ","
",Analgesic,Antipyretic,,,,,,
"D06778
","Pinellia tuber (JP18)
  ","Pineliae tuber (TN)
  ","
",Anti-emetic,Antitussive,Expectorant,Sedative,,,,
"D06779
","Angelica dahurica root (JP18)
  ","Angelica dahuricae radix (TN)
  ","
",Analgesic,Antidote,Antipyretic,Pus discharge,,,,
"D06780
","Atractylodes rhizome (JP18)
Powdered atractylodes rhizome (JP18)
  ","Atractyloides rhizoma (TN)
  ","
",Anhidrotic,Diuretic,Intestinal regulator,Stomachic,,,,
"D06781
","Loquat leaf (JP18)
  ","
","
",Anti-emetic,Anti-inflammatory,,,,,,
"D06782
","Areca (JP18)
  ","Areca (TN)
  ","
",Anthelmintic,Antihypertensive,Miotic,,,,,
"D06783
","Poria sclerotium (JP18)
Powdered poria sclerotium (JP18)
  ","Hoelen (TN)
  ","
",Diuretic,,,,,,,
"D06784
","Processed aconite root (JP18)
Powdered processed aconite root (JP18)
Processed aconite root (fibrous root)
Powdered processed aconite root (fibrous root)
  ","
","
",Analgesic,Cardiotonic,Diuretic,,,,,
"D06785
","Sinomenium stem (JP18)
Powdered sinomenium stem and rhizome (Non-JPS)
  ","Fangji (TN)
  ","
",Analgesic,,,,,,,
"D06786
","Imperata rhizome (JP18)
  ","Imperatae rhizoma (TN)
  ","
",Anti-inflammatory,Diuretic,Hemostatic,,,,,
"D06787
","Saposhnikovia root (JP18)
  ","Fangfeng (TN)
  ","
",Analgesic,Antipyretic,,,,,,
"D06788
","Moutan bark (JP18)
Powdered moutan bark (JP18)
  ","Mudanpi (TN)
  ","
",Antibacterial,Emmenagogue,,,,,,
"D06789
","Hochuekkito extract (JP18)
Hochuekkito
  ","
","
",Analeptic,Anhidrotic,Blood replenishment,Stomachic,,,,
"D06790
","Oyster shell (JP18)
Powdered oyster shell (JP18)
  ","Oyster shell (TN)
  ","
",Antacid,Diuretic,Sedative,,,,,
"D06791
","Ephedra herb (JP18)
Powdered ephedra herb (Non-JPS)
  ","Ephedrae Herba (TN)
  ","
",Anti-inflammatory,Antipyretic,Antitussive,Expectorant,Sweating,,,
"D06792
","Digenea (JP18)
  ","
","
",Anthelmintic,,,,,,,
"D06793
","Hemp fruit (JP18)
  ","
","
",Laxative (cathartic),,,,,,,
"D06794
","Akebia stem (JP18)
  ","Akebiae caulis (TN)
  ","
",Anti-inflammatory,Diuretic,Emmenagogue,,,,,
"D06795
","Saussurea root (JP18)
  ","Saussureae radix (TN)
  ","
",Stomachic,,,,,,,
"D06796
","Bitter cardamon (JP18)
  ","Alpiniae fructus (TN)
  ","
",Intestinal regulator,Stomachic,,,,,,
"D06797
","Bear bile (JP18)
  ","
","
",Antipyretic,Antispasmodic,Choleretic,Stomachic,,,,
"D06798
","Coix seed (JP18)
Coix extract
Powdered coix seed (JP18)
  ","Coicis semen (TN)
  ","
",Analeptic,Wart removal,,,,,,
"D06799
","Longgu (JP18)
Powdered longgu (JP18)
  ","Fossilized mammal bones (TN)
  ","
",Central nervous system depressant,,,,,,,
"D06800
","Japanese gentian (JP18)
Powdered japanese gentian (JP18)
  ","Gentianae scabrae radix (TN)
  ","
",Bitter stomachic,,,,,,,
"D06801
","Alpinia offcinarum rhizome (JP18)
  ","
","
",Analgesic,Stomachic,,,,,,
"D06802
","Ryokeijutsukanto extract (JP18)
Ryokeijutsukanto
  ","
","
",Analgesic,Antivertigo,Sedative,,,,,
"D06803
","Nelumbo seed (JP18)
  ","
","
",Analeptic,Sedative,,,,,,
"D06804
","Rosin (JP18)
Colofonium
  ","
","
",Pharmaceutic aid (plaster base),,,,,,,
"D06805
","Scopolia rhizome (JP18)
  ","Scoolia (TN)
  ","
",Analgesic,Antispasmodic,,,,,,
"D06806
","Measles virus vaccine live (USP)
  ","
","
",Active immunization (measles),,,,,,,
"D06808
","Epimedium herb (JP18)
Epimedium herb extract (Non-JPS)
  ","
","
",Analeptic,,,,,,,
"D06809
","Uva ursi fluidextract (JP18)
  ","
","
",Antiseptic (urinary tract),,,,,,,
"D06810
","Polygonatum rhizome (JP18)
  ","
","
",Analeptic,,,,,,,
"D06811
","Glycyrrhiza extract (JP18)
Crude glycyrrhiza extract (JP18)
  ","
","
",Antitussive,Anti-ulcerative,Expectorant,,,,,
"D06812
","Platycodon fluidextract (JP18)
  ","
","
",Expectorant,,,,,,,
"D06813
","Dolichos seed (JP18)
  ","
","
",Antidote,,,,,,,
"D06814
","Sodium bicarbonate and bitter tincture (JP18)
  ","
","
",Antacid,Stomachic,,,,,,
"D06815
","Eleutherococcus senticosus rhizome (JP18)
  ","
","
",Analeptic,,,,,,,
"D06816
","Arsenical paste (JP18)
  ","
","
",Dental pulp devitalization agent,,,,,,,
"D06820
","Exsiccated gypsum (JP18)
  ","
","
",Anti-inflammatory (topical),Prosthetic aid,,,,,,
"D06823
","Clove oil (JP18/NF)
  ","
","
",Analgesic,Anesthetic (local),Antiviral,,,,,
"D06826
","Ipecac syrup (JP18)
  ","Ipecac syrup (TN)
  ","
",Emetic,,,,,,,
"D06873
","Nux vomica extract (JP18)
  ","Strychnos extract (TN)
  ","
",Gastric secretion accelerator,,,,,,,
"D06876
","Hydrocortisone aceponate (INN)
  ","Efficort (TN)
  ","
",Anti-inflammatory,Glucocorticoid receptor agonist,,,,,,
"D06877
","Oxyphenonium bromide (INN)
  ","Antrenyl (TN)
  ","
",Antispasmodic,Anti-ulcerative,Parasympatholytic,,,,,
"D06878
","Diphemanil metilsulfate (INN)
Diphemanil methylsulfate
  ","Prantal (TN)
  ","
",Muscarinic acetylcholine receptor antagonist,,,,,,,
"D06879
","Streptokinase (INN)
  ","Streptase (TN)
  ","
",Thrombolytic,Plasminogen activator,,,,,,
"D06880
","Lepirudin (INN)
  ","Refludan (TN)
  ","
",Anticoagulant,Thrombin inhibitor,,,,,,
"D06881
","Acetyldigitoxin (INN)
  ","Acylanid (TN)
  ","
",Cardiotonic,,,,,,,
"D06882
","Sodium tetradecyl sulfate (INN)
  ","Sotradecol (TN)
  ","
",Antivaricose,Sclerosing agent (varicosed vein),,,,,,
"D06883
","Sertaconazole (INN)
  ","
","
",Antifungal,,,,,,,
"D06884
","Lymecycline (INN)
  ","
","
",Antibacterial,Protein biosynthesis inhibitor,,,,,,
"D06885
","Clomocycline (INN)
  ","
","
",Antibacterial,Protein biosynthesis inhibitor,,,,,,
"D06886
","Natalizumab (USAN/INN)
Natalizumab (genetical recombination) (JAN)
  ","Tysabri (TN)
  ","Multiple sclerosis [DS:H01490]
Crohn's disease [DS:H00286]
  ",Immunosuppressant,Anti-integrin alpha 4 antibody,,,,,,
"D06887
","Talbutal (INN)
  ","Lotusate (TN)
  ","
",Sedative-hypnotic,,,,,,,
"D06888
","Eptifibatide (INN)
  ","Integrilin (TN)
  ","
",Platelet aggregation inhibitor,Glycoprotein IIb/IIIa receptor antagonist,,,,,,
"D06889
","Pegfilgrastim (USAN/INN)
Pegfilgrastim (genetical recombination) (JAN)
Pegfilgrastim-cbqv
Pegfilgrastim-bmez
  ","Neulasta (TN)
G-lasta (TN)
Udenyca (TN)
  ","Febrile neutropenia [DS:H00100]
  ",Antineutropenic,Hematopoietic stimulant,Granulocyte colony stimulating factor (G-CSF),,,,,
"D06890
","Aminohippuric acid (USP)
p-Aminohippuric acid
  ","
","
",Diagnostic aid (renal function determination),,,,,,,
"D06891
","Chromium Cr 51 Edetate (USP)
  ","
","
",Diagnostic aid (renal function determination),Radioactive agent,,,,,,
